Consent,GBeliefs_1,GBeliefs_2,GBeliefs_3,Global_1,Global_2,Global_3,Global_4,Global_5,Gutt1,Gutt2,Gutt3,Gutt4,Gutt5,Attain_1,Attain_10,Attain_11,Attain_12,Attain_13,Attain_2,Attain_3,Attain_4,Attain_5,Attain_6,Attain_7,Attain_8,Attain_9,CostX_1,CostX_2,CostX_3,CostX_4,CostX_5,CostX_6,CostX_7,CostX_8,CostX_9,CostX_10,CostX_11,CostX_12,CostX_13,DifficultyX_1,DifficultyX_2,DifficultyX_3,DifficultyX_4,DifficultyX_5,DifficultyX_6,DifficultyX_7,DifficultyX_8,DifficultyX_9,GoalX_1,GoalX_2,GoalX_3,GoalX_4,GoalX_5,GoalX_6,GoalX_7,GoalX_8,GoalX_9,GoalX_10,GoalX_11,GoalX_12,GoalX_13,Expectancy_1,Expectancy_2,Expectancy_3,Expectancy_4,Expectancy_5,Expectancy_6,IntEnj_1,IntEnj_2,IntEnj_3,IntEnj_4,IntEnj_5,IntEnj_6,IntEnj_7,IntEnj_8,IntEnj_9,Utility_1,Utility_10,Utility_11,Utility_2,Utility_3,Utility_4,Utility_5,Utility_6,Utility_7,Utility_8,Utility_9,AcadSCX_1,AcadSCX_2,AcadSCX_3,AcadSCX_4,AcadSCX_5,AcadSCX_6,AcadSCX_7,AcadSCX_8,AcadSCX_9,AcadSCX_10,AcadSCX_11,AcadSCX_12,AcadSCX_13,AcadSCX_14,Gender,Gender_TEXT,Age,Hispanic_Latino_Spanish,Race_Origin,Race_Origin_TEXT,Language,Language_TEXT,Student,Student_TEXT,Taking_Class,Taking_Class_TEXT,STAT_Successful?,Successful_Where,No?,No?_TEXT,First_Gen?,Grade_Course,College_GPA?,College_GPA,College_GPA_Max,HS_GPA,HS_GPA_Max,Major1_1,Major1.1,Major2_1,Major2.1,Minor1_1,Minor1.1,Minor2_1,Minor2.1,RandomID
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Strongly Agree,Disagree,Very Well,Very Good,Very Little,Confident,Unlikely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,6,6,5,4,4,2,2,6,5,5,4,2,3,2,6,6,5,4,4,4,6,5,2,3,4,5,4,2,2,3,3,3,2,3,2,2,2,1,6,5,4,3,5,4,2,2,2,2,6,6,7,6,6,6,6,4,4,5,1,3,3,4,3,5,5,6,5,3,5,5,6,6,5,6,6,5,7,3,3,5,5,4,6,6,6,6,6,6,Man,,21,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,If fulfills a general education requirement.,,Yes,"High School non-AP,1 other college-level statistics course.",,,No,A or B (not sure which one),Yes,3.86,4,,,Psychology,,"Homeland Security, Criminal Justice, and Related Fields",,Military Science and Leadership,,None - I do not have a minor.,,9a151dab92
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Agree,Neither Agree Nor Disagree,Average,Above Average,Less Than Average,Fairly Confident,Average,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I am beginning to see why I should study statistics.,I will rarely use statistics in the future.,7,5,4,4,4,4,4,1,7,5,4,4,5,4,4,6,4,2,4,4,4,5,4,3,3,5,5,4,5,4,4,6,3,4,4,5,4,4,4,6,6,4,6,4,4,4,5,6,6,5,4,7,4,4,3,4,4,4,4,3,6,4,4,4,5,4,4,4,4,4,4,4,6,4,3,4,7,4,5,4,4,4,5,4,4,4,4,3,Man,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,If fulfills a general education requirement.,,Yes,High School non-AP,,,Yes,C,Yes,2.6,4,,,"Business Administration, Management",,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,dc733bc5d2
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Disagree,Very Well,Very Good,Grater Than Average,Confident,Fairly Likely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,5,5,5,6,5,3,3,5,6,6,5,5,5,3,5,5,6,3,6,4,5,6,3,4,6,6,3,5,5,3,5,5,3,5,5,3,3,3,5,5,3,4,5,5,3,3,3,2,5,5,7,4,5,6,5,5,5,6,4,6,5,6,5,5,5,6,5,6,5,6,6,5,6,6,5,6,7,5,6,5,6,3,6,6,6,6,5,5,Woman,,19,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,A or B (not sure which one),Yes,3.67,4,,,"Business Administration, Management",,"Marketing, Advertising",,None - I do not have a minor.,,None - I do not have a minor.,,0bdee9e7ce
Yes: I agree to participate AND am 18 years or older,Disagree,Strongly Agree,Disagree,Above Average,Below Average,Large Amount,Confident,Likely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,6,6,6,6,6,6,5,7,6,7,6,3,6,2,5,5,5,5,5,5,6,6,5,4,3,5,5,2,3,2,3,5,3,3,2,5,2,2,6,6,5,5,2,5,2,2,5,5,7,5,7,7,6,7,4,6,6,7,5,6,6,6,6,6,5,7,7,7,7,7,7,7,7,6,5,5,3,2,2,6,6,4,1,6,3,3,1,3,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,"If fulfills a general education requirement.,Other:",To go along with my PSYC 261 class,No,,Other:,Currently taking my other Stats course,Yes,A or B (not sure which one),Yes,3.72,4,,,Psychology,,None - I do not have a second major.,,Social Work and Human Services,,None - I do not have a minor.,,88ab3817f0
Yes: I agree to participate AND am 18 years or older,Disagree,Strongly Agree,Somewhat Disagree,Very Well,Very Good,Average,Very Confident,Fairly Unlikely,Employers care a little bit if I know statistics.,Most people in my desired career field use statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will occasionally use statistics in the future.,7,7,4,5,5,5,3,4,6,5,2,6,5,1,4,4,3,3,3,4,3,4,1,1,1,3,2,4,5,4,4,4,4,5,5,3,2,1,3,5,4,2,4,4,5,4,4,2,6,7,4,7,6,7,3,4,3,5,2,3,6,4,3,2,5,4,3,4,2,5,4,7,6,4,5,6,6,4,3,5,7,7,5,5,2,5,5,3,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,A,Yes,4,4,,,Mathematics,,,,,,,,35203f2130
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Strongly Agree,Somewhat Disagree,Above Average,Good,Grater Than Average,Fairly Confident,Fairly Likely,Employers care a little bit if I know statistics.,Almost everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,4,6,5,4,7,5,5,3,5,5,5,5,5,3,4,5,5,3,5,4,5,5,4,3,4,5,5,5,5,4,3,4,4,2,4,5,5,3,5,4,4,6,5,1,6,5,4,5,5,5,4,6,4,5,4,5,4,5,5,4,5,5,4,4,4,5,5,5,5,5,6,6,4,5,3,5,2,4,1,5,2,4,5,6,3,2,4,3,Man,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,"It is required by my major.,If fulfills a general education requirement.",,Yes,High School AP Statistics,,,No,A or B (not sure which one),No,,,2.7 out of 4.0,3.2 out of 5.0,Accounting,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,95f02f1d44
Yes: I agree to participate AND am 18 years or older,Agree,Somewhat Agree,Disagree,Average,Average,Grater Than Average,Fairly Confident,Fairly Unlikely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will often use statistics in the future.,7,5,4,6,6,4,4,5,6,7,4,3,4,4,5,5,5,5,6,5,5,6,4,5,6,5,6,4,4,5,4,6,4,5,4,3,2,1,6,4,2,6,3,3,3,2,6,5,5,3,5,5,4,5,3,4,4,5,2,4,4,4,4,6,5,7,6,6,6,6,7,5,5,5,5,4,4,6,3,5,4,3,6,6,4,6,6,4,Man,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my minor.,,No,,I have never taken a statistics course.,,Yes,B,Yes,3,4,,,Computer Science,,None - I do not have a second major.,,"Business Administration, Management",,None - I do not have a minor.,,9734effea6
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Well,Good,Grater Than Average,Fairly Confident,Fairly Likely,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,4,6,5,5,4,5,3,4,5,4,4,3,5,4,3,5,6,4,6,5,5,5,4,5,4,5,5,5,3,3,3,6,3,3,3,5,4,4,4,5,5,6,2,5,4,3,4,3,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,6,5,4,4,6,5,6,5,6,3,6,5,4,5,4,5,5,3,4,5,5,Man,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","Black or African-American: African American, Haitian, Nigerian, etc.",,English,,Sophomore (Second Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,A or B (not sure which one),Yes,2.4,4,,,Computer Science,,None - I do not have a second major.,,Data Analytics/Business Analytics,,None - I do not have a minor.,,b3b10fd2f3
Yes: I agree to participate AND am 18 years or older,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Well,Average,Not At All,Very Little Confidence,Not At All Likely,Employers place no value on me knowing statistics.,No one in my desired career field uses statistics.,I do not see how using statistics will help me make informed choices.,I see no reason to study statistics.,I will never use statistics in the future.,7,5,4,4,4,5,4,2,6,4,4,5,2,2,2,3,2,2,3,2,2,4,2,2,4,2,6,4,6,6,6,5,6,7,6,4,4,2,3,5,3,4,3,4,5,5,6,5,4,4,5,5,4,5,2,1,2,2,2,2,2,1,2,1,4,4,1,1,2,7,7,4,4,4,6,5,6,5,3,5,7,5,5,5,2,6,5,4,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","Black or African-American: African American, Haitian, Nigerian, etc.",,English,,Sophomore (Second Year),,It is required by my major.,,Yes,High School non-AP,,,Yes,B,Yes,3,4,,,Political Science,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,86ab9be763
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Strongly Agree,Disagree,Very Well,Above Average,Grater Than Average,Confident,Fairly Likely,Employers require that I have excellent knowledge of statistics.,Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,6,7,6,6,6,5,7,7,6,6,5,2,5,6,6,6,6,3,6,6,2,3,6,6,5,5,3,4,5,6,5,3,5,6,5,3,7,6,7,5,7,6,6,6,6,6,5,5,5,5,5,5,3,6,3,5,5,3,5,5,5,5,6,6,6,6,7,5,7,6,6,5,6,6,6,6,3,5,6,6,6,6,2,3,6,3,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,High School AP Statistics,,,No,A,Yes,3.89,4,,,Computer Science,,Engineering,,None - I do not have a minor.,,None - I do not have a minor.,,98e3a55581
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Agree,Disagree,Very Well,Very Good,Grater Than Average,Confident,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I see no reason to study statistics.,I will rarely use statistics in the future.,5,6,5,2,5,3,3,1,7,5,2,5,1,2,2,1,2,2,1,4,1,2,2,2,1,2,6,6,6,5,5,6,6,7,7,1,1,1,2,5,2,2,3,2,7,6,4,3,5,6,6,6,5,6,1,1,1,2,2,1,1,1,1,5,2,2,3,5,6,2,5,2,5,5,5,5,7,6,5,6,5,6,3,6,3,6,3,3,Man,,21,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,"It is required by my major.,It is required by my minor.",,No,,I have never taken a statistics course.,,No,A or B (not sure which one),Yes,4,4,,,Computer Science,,None - I do not have a second major.,,Mathematics,,None - I do not have a minor.,,18f62bc50d
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Above Average,Above Average,Average,Some Confidence,Fairly Likely,Employers require that I have excellent knowledge of statistics.,Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will use statistics almost daily in my future.,4,4,4,4,4,2,3,6,4,4,4,4,4,4,4,4,6,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,5,2,4,5,3,5,5,4,4,4,4,5,2,4,3,2,4,3,4,4,5,4,4,4,4,4,4,4,2,2,4,4,5,6,4,7,7,4,6,4,4,5,4,4,4,4,4,4,7,2,4,4,4,4,6,2,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,"It is required by my major.,If fulfills a general education requirement.",,Yes,High School AP Statistics,,,Yes,B,Yes,,,,,"Business Administration, Management",,,,,,,,d970f3f0d7
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Agree,Somewhat Agree,Average,Average,Grater Than Average,Some Confidence,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,6,7,7,6,7,7,6,1,7,7,6,5,6,2,4,4,6,2,4,4,7,4,1,5,6,6,4,7,3,5,5,5,6,2,5,4,1,3,7,4,2,6,6,6,4,3,7,7,5,5,7,6,6,6,4,6,5,4,4,4,7,7,4,7,7,2,7,7,6,2,7,4,6,3,7,7,6,6,3,6,4,5,5,7,4,7,7,2,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","Black or African-American: African American, Haitian, Nigerian, etc.",,English,,Freshman (First Year),,It is required by my major.,,Yes,High School non-AP,,,Yes,C,No,,,4.5,5,"Business Administration, Management",,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,392c68614f
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Well,Average,Less Than Average,Little Confidence,Unlikely,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I do not see how using statistics will help me make informed choices.,I sometimes see why studying statistics can be useful.,I will rarely use statistics in the future.,3,4,3,2,2,3,5,3,4,3,4,4,4,2,4,5,4,2,4,2,3,3,2,4,3,3,5,5,6,5,6,5,6,5,5,1,1,2,5,2,1,4,4,2,6,5,3,4,3,4,5,4,2,4,2,2,2,2,1,3,4,5,3,2,2,5,2,4,3,6,4,4,4,3,4,4,7,5,3,5,3,4,5,4,3,4,4,5,Woman,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Freshman (First Year),,It is an elective for my major.,,Yes,"High School non-AP,1 other college-level statistics course.",,,Yes,A or B (not sure which one),Yes,3.89,,,,"Business Administration, Management",,,,,,,,1b78513d4a
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Disagree,Very Well,Very Good,Average,Confident,Fairly Likely,Employers expect that I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,5,6,6,5,4,5,5,6,6,5,1,4,3,5,4,3,5,5,5,4,4,2,3,3,3,3,3,2,2,5,4,2,2,3,4,4,4,4,5,5,5,5,4,4,4,5,4,6,5,6,5,2,5,4,3,3,5,5,3,5,4,5,4,5,6,5,4,5,5,5,5,5,5,6,6,5,5,5,3,6,6,3,3,5,5,3,3,Woman,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,If fulfills a general education requirement.,,Yes,1 other college-level statistics course.,,,Yes,A,Yes,3.01,4,,,Health Professions and Related Programs,,,,,,,,942ecd6ce5
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Agree,Somewhat Disagree,Poorly,Below Average,Large Amount,Little Confidence,Unlikely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will use statistics almost daily in my future.,4,5,5,5,4,2,4,3,3,5,2,4,6,3,2,5,5,4,4,4,4,6,4,4,5,5,5,3,5,3,3,5,4,6,6,4,1,3,5,4,4,6,5,4,5,5,4,4,6,5,5,4,6,7,3,3,1,5,3,3,5,5,3,6,6,5,5,7,6,5,6,7,6,4,3,4,4,4,4,3,6,4,2,4,6,6,2,4,Man,,21,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,No,,I have never taken a statistics course.,,Yes,C,Yes,2.96,4,,,Political Science,,,,"Homeland Security, Criminal Justice, and Related Fields",,,,a962101c1e
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Disagree,Above Average,Average,Average,Confident,Fairly Likely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I plan to use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,5,5,6,5,3,6,6,6,5,3,4,2,5,4,4,6,5,6,5,5,2,2,5,5,4,3,2,2,4,4,2,3,2,5,2,2,6,5,3,2,5,3,2,2,5,2,5,6,6,6,6,6,6,3,4,5,5,5,4,4,5,5,6,6,5,4,4,5,6,6,6,6,5,5,5,6,6,5,6,3,5,5,3,5,5,3,Woman,,18,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,English,,Freshman (First Year),,It is an elective for my major.,,Yes,High School AP Statistics,,,No,A or B (not sure which one),Yes,not sure,idk,,,Political Science,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,2d5f545a23
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Very Well,Average,Average,Very Little Confidence,Average,Employers place no value on me knowing statistics.,No one in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I am beginning to see why I should study statistics.,I will rarely use statistics in the future.,3,7,4,4,4,4,4,2,6,6,5,4,3,2,2,4,3,4,4,4,4,4,2,2,4,3,4,4,7,5,3,4,4,4,7,4,4,2,6,4,4,4,4,2,5,6,4,5,4,4,4,4,4,4,3,4,3,4,4,1,4,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,7,5,4,7,4,4,6,4,4,7,5,Woman,,19,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,If fulfills a general education requirement.,,No,,I have never taken a statistics course.,,Yes,A or B (not sure which one),Yes,4,4,,,Education,,,,,,,,d0d01d0a6c
Yes: I agree to participate AND am 18 years or older,,,,,,,,,,,,,,6,6,4,4,4,4,3,4,4,6,6,5,4,2,4,5,4,4,4,4,4,5,4,3,5,4,4,4,6,5,3,4,4,4,6,4,4,2,4,4,4,4,4,4,6,5,4,4,4,5,6,5,4,6,2,4,1,4,1,2,4,4,1,2,4,6,4,2,4,4,4,5,4,6,6,6,5,4,4,6,6,4,4,4,3,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663e1f0dea
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Well,Average,Not At All,Some Confidence,Not At All Likely,"Employers would like it if I knew statistics, but it is not required.",No one in my desired career field uses statistics.,I do not see how using statistics will help me make informed choices.,I usually understand why studying statistics is useful.,I will never use statistics in the future.,2,2,4,4,4,5,2,5,6,6,6,4,2,4,5,4,4,1,6,4,4,5,6,4,2,4,2,5,4,5,1,4,2,4,3,1,2,2,6,2,2,6,1,2,2,1,2,2,4,4,6,7,4,4,5,5,6,4,5,6,5,7,5,3,6,5,5,1,3,1,1,4,2,6,6,7,5,7,5,4,7,4,6,5,4,6,7,6,Woman,,21,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Junior (Third Year),,"It is required by my major.,If fulfills a general education requirement.",,Yes,1 other college-level statistics course.,,,Yes,A or B (not sure which one),Yes,3.2,4,,,Social Work and Human Services,,,,,,,,b906313044
Yes: I agree to participate AND am 18 years or older,Disagree,Somewhat Agree,Strongly Disagree,Well,Good,Average,Confident,Fairly Likely,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,2,7,6,7,6,2,6,6,6,5,2,2,6,7,4,6,7,6,6,5,6,6,7,4,5,5,2,2,2,3,3,1,3,1,2,1,1,7,4,1,1,2,2,1,1,5,2,7,6,5,6,2,5,7,6,6,5,6,6,5,6,6,2,5,6,2,2,2,4,4,6,5,6,5,7,6,6,7,6,6,6,7,6,7,6,7,6,Woman,,19,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,If fulfills a general education requirement.,,Yes,1 other college-level statistics course.,,,No,A,Yes,4,4,,,Education,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,18a5274d39
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Below Average,Average,Very Little,Fairly Confident,Unlikely,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will rarely use statistics in the future.,7,5,7,6,7,4,4,5,4,7,6,1,4,4,5,6,4,6,5,5,5,6,4,3,5,7,7,3,6,3,6,6,4,5,5,2,4,3,6,2,4,4,1,5,2,2,3,3,5,6,7,5,4,5,6,4,5,5,6,4,5,6,7,6,5,6,1,4,4,4,4,5,4,3,6,6,5,5,5,5,6,4,6,6,6,6,6,5,Woman,,25,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Fifth or more years in college,,"It is required by my major.,If fulfills a general education requirement.",,Yes,1 other college-level statistics course.,,,No,A,Yes,2.9,4,,,Health Professions and Related Programs,,Social Work and Human Services,,None - I do not have a minor.,,None - I do not have a minor.,,635048ce43
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Average,Good,Average,Very Confident,Average,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will occasionally use statistics in the future.,6,4,6,6,6,6,1,7,6,2,6,4,7,6,6,6,6,6,6,7,6,5,6,7,4,3,6,1,2,2,2,7,2,2,2,2,2,2,7,4,4,7,4,4,2,2,4,1,5,4,4,6,6,6,6,7,6,6,6,6,6,6,6,5,6,7,6,4,4,4,4,6,5,6,7,6,4,6,6,6,6,5,6,6,7,7,6,7,Woman,,20,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,English,,Freshman (First Year),,"It is required by my major.,If fulfills a general education requirement.",,No,,I have never taken a statistics course.,,Yes,A,No,,,4,4,Other (Please Specify),Business,,,Other (Please Specify),Business,,,ef681b6b07
Yes: I agree to participate AND am 18 years or older,Disagree,Somewhat Agree,Disagree,Average,Average,Grater Than Average,Some Confidence,Average,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I plan to use statistics to make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,6,7,7,5,6,6,5,3,7,6,7,5,6,5,6,7,6,6,7,3,6,7,4,6,7,7,7,2,6,5,4,6,6,6,5,4,2,2,7,5,4,4,5,6,5,4,5,5,5,5,5,6,4,6,4,6,3,6,4,3,7,6,5,5,6,7,6,5,6,5,7,4,6,7,1,4,4,3,1,6,7,4,5,6,2,2,5,3,Woman,,31,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Part-time student in college,,It is required by my major.,,No,,I have never taken a statistics course.,,No,B,No,,,,,Psychology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,b6849fea75
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Somewhat Disagree,Below Average,Below Average,Average,Some Confidence,Fairly Likely,"Employers would like it if I knew statistics, but it is not required.",Almost everyone in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,2,5,6,6,6,6,3,5,6,6,6,5,4,5,4,6,5,5,6,6,6,6,4,6,5,6,5,3,5,3,4,5,2,2,3,4,2,2,4,4,4,5,4,6,2,2,2,2,5,4,6,5,4,5,3,5,5,5,6,6,6,6,6,4,5,6,4,5,6,5,4,6,6,6,3,4,5,4,5,6,5,4,6,5,5,6,6,3,Woman,,18,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Freshman (First Year),,If fulfills a general education requirement.,,No,,I have never taken a statistics course.,,Yes,A or B (not sure which one),No,,,3,4,Management Information Systems,,Computer Science,,Computer Science,,Accounting,,b5d6baeab9
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Well,Good,Very Little,Some Confidence,Average,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,5,4,4,2,4,4,2,6,2,4,2,2,2,2,6,4,4,4,4,6,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,2,2,5,2,2,2,2,4,2,2,2,2,4,4,5,5,4,5,6,5,4,5,5,6,4,5,4,4,2,4,5,4,4,4,4,4,4,5,4,6,6,5,4,5,4,5,5,6,3,4,5,4,Man,,22,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,A,Yes,3.7,4,,,Biology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,b3ce1f98a5
